,tracking_number,boiler_id,report_type,pressure_type,inspection_date,defects_exist,lff_45_days,lff_180_days,filing_fee,total_amount_paid,report_status,bin_number
203,2020-40000066213N0001-305247,40000066213N0001,Initial,Low Pressure,08/20/2020 00:00:00,No,0,0,30,30,Accepted,4154722
204,2020-40000067356Y0003-292967,40000067356Y0003,Initial,Low Pressure,08/14/2020 00:00:00,Yes,0,0,0,0,Accepted,4536731
205,2020-40000069055Y0001-320404,40000069055Y0001,Initial,Low Pressure,11/04/2020 00:00:00,No,0,0,30,30,Accepted,4038337
206,2020-40000074162N0001-299832,40000074162N0001,Initial,Low Pressure,09/08/2020 00:00:00,No,0,0,30,30,Accepted,4235051
207,2020-40000075625N0001-333820,40000075625N0001,Initial,Low Pressure,12/03/2020 00:00:00,No,0,0,30,30,Accepted,4196342
208,2020-40000076518N0001-324198,40000076518N0001,Initial,Low Pressure,11/03/2020 00:00:00,No,0,0,30,30,Accepted,4138269
209,2020-40000077672Y0001-276462,40000077672Y0001,Initial,Low Pressure,06/23/2020 00:00:00,No,0,0,30,30,Accepted,4530593
210,2020-40000077744Y0001-288123,40000077744Y0001,Initial,Low Pressure,07/31/2020 00:00:00,No,0,0,30,30,Accepted,4085505
211,2020-40000084938N0001-293057,40000084938N0001,Initial,Low Pressure,08/17/2020 00:00:00,No,0,0,30,30,Accepted,4193408
212,2020-40000087908N0001-292501,40000087908N0001,Initial,Low Pressure,08/13/2020 00:00:00,No,0,0,30,30,Accepted,4046000
213,2020-40000092942N0003-293611,40000092942N0003,Initial,Low Pressure,08/13/2020 00:00:00,No,0,0,30,30,Accepted,4228614
214,2020-40000098160N0001-273409,40000098160N0001,Initial,Low Pressure,05/02/2020 00:00:00,No,0,0,30,30,Accepted,4037051
215,2020-40000099310N0001-301511,40000099310N0001,Initial,Low Pressure,09/11/2020 00:00:00,No,0,0,30,30,Accepted,4201541
216,2020-40000104380N0001-273800,40000104380N0001,Initial,Low Pressure,06/15/2020 00:00:00,No,0,0,30,30,Accepted,4089333
217,2020-40000105696N0001-252981,40000105696N0001,Initial,Low Pressure,02/20/2020 00:00:00,No,0,0,0,0,Accepted,4249822
218,2020-40000109486N0001-324039,40000109486N0001,Initial,Low Pressure,11/13/2020 00:00:00,No,0,0,30,30,Accepted,4052903
219,2020-40000111547N0001-325653,40000111547N0001,Initial,Low Pressure,11/13/2020 00:00:00,No,0,0,30,30,Accepted,4062722
220,2020-40000111653N0001-315806,40000111653N0001,Initial,Low Pressure,09/25/2020 00:00:00,No,0,0,30,30,Accepted,4237310
221,2020-40000112978N0002-322758,40000112978N0002,Initial,Low Pressure,11/11/2020 00:00:00,No,0,0,30,30,Accepted,4537925
222,2020-40000151144Y0001-288590,40000151144Y0001,Initial,Low Pressure,08/03/2020 00:00:00,No,0,0,30,30,Accepted,4088494
223,2020-40000157116Y0001-311676,40000157116Y0001,Initial,Low Pressure,10/06/2020 00:00:00,No,0,0,30,30,Accepted,4040534
224,2020-40000160425N0002-256206,40000160425N0002,Initial,Low Pressure,02/26/2020 00:00:00,No,0,0,30,30,Accepted,4081478
225,2020-40000160541Y0001-322377,40000160541Y0001,Initial,Low Pressure,11/10/2020 00:00:00,No,0,0,30,30,Accepted,4297765
226,2020-40000161350Y0001-319119,40000161350Y0001,Initial,Low Pressure,11/02/2020 00:00:00,No,0,0,0,0,Accepted,4439540
227,2020-40000168017Y0002-264496,40000168017Y0002,Initial,Low Pressure,04/20/2020 00:00:00,No,0,0,30,30,Accepted,4113575
228,2020-40000200153Y0001-254746,40000200153Y0001,Initial,Low Pressure,02/26/2020 00:00:00,No,0,0,30,30,Accepted,4074646
229,2020-40000204573N0001-305256,40000204573N0001,Initial,Low Pressure,09/21/2020 00:00:00,No,0,0,30,30,Accepted,4062706
230,2020-40000801813N0001-289694,40000801813N0001,Initial,Low Pressure,07/30/2020 00:00:00,No,0,0,30,30,Accepted,4183387
231,2020-40000824501N0001-317125,40000824501N0001,Initial,Low Pressure,10/23/2020 00:00:00,No,0,0,30,30,Accepted,4533295
232,2020-40000826062Y0001-331272,40000826062Y0001,Initial,Low Pressure,12/16/2020 00:00:00,No,0,0,30,30,Accepted,4029848
233,2020-40000948444Y0001-317260,40000948444Y0001,Initial,Low Pressure,10/26/2020 00:00:00,No,0,0,30,30,Accepted,4304827
234,2021-10000007492Y0002-393678,10000007492Y0002,Initial,Low Pressure,06/28/2021 00:00:00,No,0,0,30,30,Accepted,1059653
235,2021-10000009815Y0001-352131,10000009815Y0001,Initial,Low Pressure,03/02/2021 00:00:00,No,0,0,30,30,Accepted,1056635
236,2021-10000014891Y0001-350557,10000014891Y0001,Initial,Low Pressure,02/25/2021 00:00:00,No,0,0,30,30,Accepted,1032574
237,2021-10000022682Y0001-406194,10000022682Y0001,Initial,Low Pressure,10/04/2021 00:00:00,No,0,0,30,30,Accepted,1005468
238,2021-10000023028Y0001-426003,10000023028Y0001,Initial,Low Pressure,12/15/2021 00:00:00,No,0,0,30,30,Accepted,1008397
239,2021-10000023235Y0001-419806,10000023235Y0001,Initial,Low Pressure,11/03/2021 00:00:00,No,0,0,30,30,Accepted,1003793
240,2021-10000024965Y0001-425331,10000024965Y0001,Initial,Low Pressure,12/09/2021 00:00:00,No,0,0,30,30,Accepted,1013780
241,2021-10000026271Y0001-389386,10000026271Y0001,Initial,Low Pressure,06/24/2021 00:00:00,No,0,0,30,30,Accepted,1027014
242,2021-10000026561Y0001-405673,10000026561Y0001,Initial,Low Pressure,09/28/2021 00:00:00,No,0,0,0,0,Accepted,1063891
243,2021-10000027631Y0001-387634,10000027631Y0001,Initial,Low Pressure,06/03/2021 00:00:00,No,0,0,30,30,Accepted,1053356
244,2021-10000029312Y0001-359836,10000029312Y0001,Initial,Low Pressure,03/29/2021 00:00:00,No,0,0,30,30,Accepted,1025429
245,2021-10000040014Y0001-362634,10000040014Y0001,Initial,Low Pressure,04/07/2021 00:00:00,No,0,0,30,30,Accepted,1006867
246,2021-10000040264Y0001-358877,10000040264Y0001,Initial,Low Pressure,03/23/2021 00:00:00,Yes,0,0,30,30,Accepted,1082600
247,2021-10000041604Y0002-365429,10000041604Y0002,Initial,Low Pressure,04/19/2021 00:00:00,No,0,0,30,30,Accepted,1046846
248,2021-10000042792N0001-377844,10000042792N0001,Initial,Low Pressure,06/01/2021 00:00:00,No,0,0,30,30,Accepted,1015049
249,2021-10000043512Y0002-368625,10000043512Y0002,Subsequent,Low Pressure,04/29/2021 00:00:00,No,0,0,30,30,Accepted,1006431
250,2021-10000058121N0001-384445,10000058121N0001,Initial,Low Pressure,06/25/2021 00:00:00,No,0,0,30,30,Accepted,1080071
251,2021-10000073661Y0003-410943,10000073661Y0003,Initial,Low Pressure,10/21/2021 00:00:00,No,0,0,30,30,Accepted,1087664
252,2021-10000073970Y0005-344535,10000073970Y0005,Initial,Low Pressure,02/03/2021 00:00:00,No,0,0,30,30,Accepted,1086525
253,2021-10000080417N0001-419765,10000080417N0001,Initial,Low Pressure,10/13/2021 00:00:00,No,0,0,30,30,Accepted,1016053
254,2021-10000100590N0001-429121,10000100590N0001,Initial,Low Pressure,12/17/2021 00:00:00,No,0,0,30,30,Accepted,1049932
255,2021-10000166150Y0001-381316,10000166150Y0001,Initial,Low Pressure,06/15/2021 00:00:00,No,0,0,30,30,Accepted,1090199
256,2021-10000171413N0002-385679,10000171413N0002,Initial,Low Pressure,07/01/2021 00:00:00,No,0,0,0,0,Accepted,1051499
257,2021-10000205574N0001-394839,10000205574N0001,Initial,Low Pressure,08/11/2021 00:00:00,No,0,0,30,30,Accepted,1089771
258,2021-10000824681Y0001-346816,10000824681Y0001,Initial,Low Pressure,02/11/2021 00:00:00,No,0,0,30,30,Accepted,1051986
259,2021-10000920574Y0001-396671,10000920574Y0001,Initial,Low Pressure,08/16/2021 00:00:00,No,0,0,30,30,Accepted,1060254
260,2021-20000002107N0001-394428,20000002107N0001,Initial,Low Pressure,07/23/2021 00:00:00,Yes,0,0,0,0,Accepted,2005616
261,2021-30000114784N0001-367142,30000114784N0001,Initial,Low Pressure,04/19/2021 00:00:00,No,0,0,30,30,Accepted,3092389
262,2022-10000015840Y0001-456397,10000015840Y0001,Initial,Low Pressure,04/01/2022 00:00:00,No,0,0,30,30,Accepted,1051221
263,2022-10000022714Y0001-500122,10000022714Y0001,Initial,Low Pressure,09/01/2022 00:00:00,No,0,0,30,30,Accepted,1001796
264,2022-10000024678Y0001-514594,10000024678Y0001,Initial,Low Pressure,10/26/2022 00:00:00,No,0,0,30,30,Accepted,1079594
265,2022-10000028312Y0001-516254,10000028312Y0001,Initial,Low Pressure,10/31/2022 00:00:00,No,0,0,30,30,Accepted,1059583
266,2022-10000030125Y0001-491002,10000030125Y0001,Initial,Low Pressure,08/02/2022 00:00:00,No,0,0,0,0,Pre-filing,1061719
267,2022-10000034750Y0001-482308,10000034750Y0001,Initial,Low Pressure,07/06/2022 00:00:00,No,0,0,30,30,Accepted,1031104
268,2022-10000042809Y0001-473088,10000042809Y0001,Initial,Low Pressure,06/08/2022 00:00:00,Yes,0,0,30,30,Accepted,1077661
269,2022-10000042993N0001-474807,10000042993N0001,Initial,Low Pressure,06/13/2022 00:00:00,No,0,0,30,30,Accepted,1014300
270,2022-10000043428Y0001-505940,10000043428Y0001,Initial,Low Pressure,10/03/2022 00:00:00,No,0,0,30,30,Accepted,1037586
271,2022-10000047090N0001-487645,10000047090N0001,Initial,Low Pressure,07/27/2022 00:00:00,No,0,0,0,0,Accepted,1083501
272,2022-10000050638Y0001-445146,10000050638Y0001,Initial,Low Pressure,02/16/2022 00:00:00,No,0,0,30,30,Accepted,1003767
273,2022-10000052791N0001-509380,10000052791N0001,Initial,Low Pressure,10/11/2022 00:00:00,No,0,0,30,30,Accepted,1014473
274,2022-10000063928Y0001-503122,10000063928Y0001,Initial,Low Pressure,09/21/2022 00:00:00,Yes,0,0,0,0,Accepted,1057980
275,2022-10000068161Y0001-437197,10000068161Y0001,Initial,Low Pressure,01/26/2022 00:00:00,No,0,0,30,30,Accepted,1059574
276,2022-10000075327Y0001-461712,10000075327Y0001,Initial,Low Pressure,05/02/2022 00:00:00,No,0,0,30,30,Accepted,1008029
277,2022-10000076187Y0001-499134,10000076187Y0001,Initial,Low Pressure,09/06/2022 00:00:00,No,0,0,30,30,Accepted,1031151
278,2022-10000077691Y0002-466320,10000077691Y0002,Initial,Low Pressure,05/05/2022 00:00:00,No,0,0,30,30,Accepted,1052875
279,2022-10000100664N0001-498256,10000100664N0001,Initial,Low Pressure,09/06/2022 00:00:00,No,0,0,30,30,Accepted,1089337
280,2022-10000112855N0001-501952,10000112855N0001,Initial,Low Pressure,09/19/2022 00:00:00,No,0,0,0,0,Pre-filing,1003417
281,2022-10000157196Y0001-514871,10000157196Y0001,Initial,Low Pressure,11/03/2022 00:00:00,No,0,0,30,30,Accepted,1010147
282,2022-10000164206N0001-487184,10000164206N0001,Initial,Low Pressure,07/21/2022 00:00:00,No,0,0,0,0,Accepted,1089418
283,2022-10000164978N0001-482507,10000164978N0001,Initial,Low Pressure,07/12/2022 00:00:00,No,0,0,30,30,Accepted,1015144
284,2022-10000170781N0001-510019,10000170781N0001,Initial,Low Pressure,10/18/2022 00:00:00,No,0,0,30,30,Accepted,1083768
285,2022-10000200856Y0002-450202,10000200856Y0002,Initial,Low Pressure,03/11/2022 00:00:00,No,0,0,30,30,Accepted,1053615
286,2022-10000820422N0001-441953,10000820422N0001,Initial,Low Pressure,02/04/2022 00:00:00,No,0,0,30,30,Accepted,1000837
287,2022-10000822238N0001-439013,10000822238N0001,Initial,Low Pressure,01/25/2022 00:00:00,Yes,0,0,30,30,Accepted,1083995
288,2022-20000002107N0001-493036,20000002107N0001,Initial,Low Pressure,08/04/2022 00:00:00,Yes,0,0,0,0,Accepted,2005616
289,2022-20000005042Y0001-441424,20000005042Y0001,Initial,Low Pressure,02/14/2022 00:00:00,No,0,0,30,30,Accepted,2009020
290,2022-20000011727Y0001-461318,20000011727Y0001,Initial,Low Pressure,04/25/2022 00:00:00,No,0,0,30,30,Accepted,2013703
291,2022-20000027840N0001-458029,20000027840N0001,Initial,Low Pressure,04/11/2022 00:00:00,No,0,0,30,30,Accepted,2044218
292,2022-20000040881Y0002-503981,20000040881Y0002,Initial,Low Pressure,09/20/2022 00:00:00,No,0,0,30,30,Accepted,2012230
293,2022-20000059108N0001-492358,20000059108N0001,Initial,High Pressure,08/10/2022 00:00:00,No,0,0,30,30,Accepted,2002758
294,2022-20000066032Y0001-487208,20000066032Y0001,Initial,Low Pressure,07/27/2022 00:00:00,Yes,0,0,30,30,Accepted,2005480
295,2022-20000076171Y0001-452070,20000076171Y0001,Initial,Low Pressure,03/23/2022 00:00:00,No,0,0,30,30,Accepted,2115802
296,2022-20000077156Y0002-492995,20000077156Y0002,Initial,Low Pressure,08/16/2022 00:00:00,No,0,0,0,0,Pre-filing,2116192
297,2022-20000099643N0001-516716,20000099643N0001,Initial,Low Pressure,11/10/2022 00:00:00,No,0,0,30,30,Accepted,2051829
298,2022-20000160981N0001-500788,20000160981N0001,Initial,Low Pressure,09/06/2022 00:00:00,No,0,0,0,0,Accepted,2013849
299,2022-20000161466Y0001-443233,20000161466Y0001,Initial,Low Pressure,02/15/2022 00:00:00,No,0,0,30,30,Accepted,2026531
300,2022-20000203166N0001-481043,20000203166N0001,Initial,Low Pressure,07/01/2022 00:00:00,No,0,0,0,0,Accepted,2004206
301,2022-20000204094Y0002-475518,20000204094Y0002,Initial,Low Pressure,06/08/2022 00:00:00,Yes,0,0,30,30,Accepted,2025348
302,2022-20000220228Y0001-468862,20000220228Y0001,Initial,Low Pressure,05/24/2022 00:00:00,No,0,0,30,30,Accepted,2017323
303,2022-20000925390Y0001-493656,20000925390Y0001,Initial,Low Pressure,08/17/2022 00:00:00,No,0,0,30,30,Accepted,2005693
304,2022-20000927653Y0001-508457,20000927653Y0001,Initial,Low Pressure,10/12/2022 00:00:00,No,0,0,30,30,Accepted,2014861
305,2022-30000000218Y0001-489416,30000000218Y0001,Initial,Low Pressure,07/28/2022 00:00:00,No,0,0,30,30,Accepted,3182485
306,2022-30000001064N1111-523433,30000001064N1111,Initial,Low Pressure,12/06/2022 00:00:00,No,0,0,30,30,Accepted,3042037
307,2022-30000002235Y0001-476560,30000002235Y0001,Initial,Low Pressure,06/16/2022 00:00:00,No,0,0,30,30,Accepted,3329137
308,2022-30000002692Y0001-512800,30000002692Y0001,Initial,Low Pressure,10/27/2022 00:00:00,Yes,0,0,30,30,Accepted,3127213
309,2022-30000003872Y1111-531371,30000003872Y1111,Initial,Low Pressure,12/23/2022 00:00:00,Yes,0,0,30,30,Accepted,3028658
310,2022-30000016564Y0001-487571,30000016564Y0001,Initial,Low Pressure,07/15/2022 00:00:00,No,0,0,30,30,Accepted,3141757
311,2022-30000026892Y0001-482225,30000026892Y0001,Initial,Low Pressure,07/07/2022 00:00:00,No,0,0,30,30,Accepted,3013772
312,2022-30000030422Y0001-516063,30000030422Y0001,Initial,Low Pressure,11/07/2022 00:00:00,No,0,0,30,30,Accepted,3141399
313,2022-30000036653Y0001-505031,30000036653Y0001,Initial,Low Pressure,09/29/2022 00:00:00,No,0,0,30,30,Accepted,3144916
314,2022-30000058964Y0001-516065,30000058964Y0001,Initial,Low Pressure,10/26/2022 00:00:00,No,50,0,30,80,Accepted,3071986
315,2022-30000059459Y0001-469894,30000059459Y0001,Initial,Low Pressure,05/17/2022 00:00:00,No,0,0,30,30,Accepted,3118600
316,2022-30000060539Y0001-508331,30000060539Y0001,Initial,Low Pressure,10/04/2022 00:00:00,No,0,0,30,30,Accepted,3085365
317,2022-30000060721Y0001-446341,30000060721Y0001,Initial,Low Pressure,03/01/2022 00:00:00,No,0,0,30,30,Accepted,3076685
318,2022-30000068304Y0001-506949,30000068304Y0001,Initial,Low Pressure,10/04/2022 00:00:00,No,0,0,30,30,Accepted,3028968
319,2022-30000071098N0003-475225,30000071098N0003,Initial,Low Pressure,06/15/2022 00:00:00,No,0,0,0,0,Accepted,3172075
320,2022-30000071840Y0001-437237,30000071840Y0001,Initial,Low Pressure,01/28/2022 00:00:00,No,0,0,30,30,Accepted,3084961
321,2022-30000072263N0001-522904,30000072263N0001,Initial,Low Pressure,11/30/2022 00:00:00,No,0,0,30,30,Accepted,3043282
322,2022-30000072375N0001-491437,30000072375N0001,Initial,Low Pressure,08/05/2022 00:00:00,No,0,0,30,30,Accepted,3160795
323,2022-30000074676Y0001-459680,30000074676Y0001,Initial,Low Pressure,04/22/2022 00:00:00,No,0,0,30,30,Accepted,3094275
324,2022-30000077214N0001-501482,30000077214N0001,Initial,Low Pressure,09/08/2022 00:00:00,No,0,0,30,30,Accepted,3116478
325,2022-30000082293N0001-476235,30000082293N0001,Initial,Low Pressure,06/17/2022 00:00:00,No,0,0,30,30,Accepted,3117227
326,2022-30000083493N0006-491785,30000083493N0006,Initial,Low Pressure,08/09/2022 00:00:00,No,0,0,0,0,Accepted,3147852
327,2022-30000097476N0001-487846,30000097476N0001,Initial,Low Pressure,07/28/2022 00:00:00,No,0,0,30,30,Accepted,3151358
328,2022-30000102799N0002-439807,30000102799N0002,Initial,Low Pressure,01/27/2022 00:00:00,No,0,0,30,30,Accepted,3058665
329,2022-30000104235N0001-521320,30000104235N0001,Initial,Low Pressure,12/04/2022 00:00:00,No,0,0,30,30,Accepted,3014103
330,2022-30000106597N0002-483978,30000106597N0002,Initial,Low Pressure,07/16/2022 00:00:00,Yes,0,0,30,30,Accepted,3198783
331,2022-30000109660Y0001-460183,30000109660Y0001,Initial,Low Pressure,04/15/2022 00:00:00,No,0,0,30,30,Accepted,3072520
332,2022-30000114614N0001-471502,30000114614N0001,Initial,Low Pressure,06/01/2022 00:00:00,No,0,0,30,30,Accepted,3010434
333,2022-30000156141Y0001-468446,30000156141Y0001,Initial,Low Pressure,05/13/2022 00:00:00,No,0,0,30,30,Accepted,3324011
334,2022-30000161052Y0001-492873,30000161052Y0001,Initial,Low Pressure,08/16/2022 00:00:00,Yes,0,0,30,30,Accepted,3029295
335,2022-30000162123N0001-528945,30000162123N0001,Initial,Low Pressure,12/19/2022 00:00:00,No,0,0,30,30,Accepted,3187432
336,2022-30000162187N0001-492631,30000162187N0001,Initial,Low Pressure,08/15/2022 00:00:00,No,0,0,30,30,Accepted,3083257
337,2024-10000006834Y1111-666798,10000006834Y1111,Initial,Low Pressure,05/01/2024 00:00:00,No,0,0,30,30,Accepted,1003626
338,2024-10000043428Y0001-700087,10000043428Y0001,Initial,Low Pressure,09/16/2024 00:00:00,No,0,0,30,30,Accepted,1037586
339,2024-30000009707Y0001-704709,30000009707Y0001,Initial,Low Pressure,09/19/2024 00:00:00,No,0,0,30,30,Accepted,3084663
340,2024-30000009967N0002-721003,30000009967N0002,Initial,Low Pressure,12/04/2024 00:00:00,Yes,0,0,0,0,Accepted,3332126
341,2024-30000024786Y0001-681689,30000024786Y0001,Initial,Low Pressure,06/26/2024 00:00:00,No,0,0,30,30,Accepted,3136212
342,2024-30000033466Y0001-698223,30000033466Y0001,Initial,Low Pressure,09/06/2024 00:00:00,No,0,0,30,30,Accepted,3065172
343,2024-30000043509Y0001-632363,30000043509Y0001,Initial,Low Pressure,01/04/2024 00:00:00,No,0,0,30,30,Accepted,3147827
344,2024-30000050741Y0001-690349,30000050741Y0001,Initial,Low Pressure,07/31/2024 00:00:00,No,0,0,30,30,Accepted,3004479
345,2017-10000007621Y0001-15530,10000007621Y0001,Initial,Low Pressure,05/10/2017 00:00:00,No,0,0,30,0,Accepted,1059682
346,2017-10000014364Y0001-36234,10000014364Y0001,Initial,Low Pressure,07/06/2017 00:00:00,No,0,0,30,0,Accepted,1064474
347,2017-10000046362N0001-26315,10000046362N0001,Initial,Low Pressure,05/16/2017 00:00:00,Yes,0,0,30,0,Accepted,1034233
348,2017-10000050871N0002-27352,10000050871N0002,Initial,Low Pressure,05/09/2017 00:00:00,No,0,0,30,0,Accepted,1012830
349,2017-10000161005N0002-32506,10000161005N0002,Initial,Low Pressure,07/20/2017 00:00:00,No,0,0,30,0,Accepted,1089085
350,2017-10000161005N0003-32505,10000161005N0003,Initial,Low Pressure,07/20/2017 00:00:00,No,0,0,30,0,Accepted,1089085
351,2017-10000161005N0004-32504,10000161005N0004,Initial,Low Pressure,07/20/2017 00:00:00,No,0,0,30,0,Accepted,1089085
352,2017-10000161005N0005-32503,10000161005N0005,Initial,Low Pressure,07/20/2017 00:00:00,No,0,0,30,0,Accepted,1089085
353,2017-20000021008Y0001-48005,20000021008Y0001,Initial,Low Pressure,06/27/2017 00:00:00,No,0,0,30,0,Accepted,2015929
354,2017-20000040770Y0001-8961,20000040770Y0001,Initial,Low Pressure,01/12/2017 00:00:00,No,0,0,30,0,Accepted,2018344
355,2017-20000161078Y0006-7633,20000161078Y0006,Initial,Low Pressure,06/16/2017 00:00:00,No,0,0,30,0,Accepted,2114829
356,2017-20000161078Y0007-7630,20000161078Y0007,Initial,Low Pressure,05/25/2017 00:00:00,No,0,0,30,0,Accepted,2114829
357,2017-20000161078Y0007-7631,20000161078Y0007,Initial,Low Pressure,06/16/2017 00:00:00,No,0,0,30,0,Accepted,2114829
358,2017-30000069230N0003-10055,30000069230N0003,Initial,Low Pressure,07/19/2017 00:00:00,No,0,0,30,0,Accepted,3392969
359,2017-30000069230N0004-10054,30000069230N0004,Initial,Low Pressure,07/19/2017 00:00:00,No,0,0,30,0,Accepted,3392969
360,2017-30000070882N0001-13701,30000070882N0001,Initial,Low Pressure,06/29/2017 00:00:00,Yes,0,0,30,0,Accepted,3014260
361,2017-30000086388N0006-24584,30000086388N0006,Initial,Low Pressure,02/28/2017 00:00:00,No,0,0,30,0,Accepted,3335898
362,2017-30000086388N0007-24583,30000086388N0007,Initial,Low Pressure,02/28/2017 00:00:00,No,0,0,30,0,Accepted,3335898
363,2017-30000086388N0008-24582,30000086388N0008,Initial,Low Pressure,02/28/2017 00:00:00,No,0,0,30,0,Accepted,3335898
364,2017-30000086388N0009-24581,30000086388N0009,Initial,Low Pressure,02/28/2017 00:00:00,No,0,0,30,0,Accepted,3335898
365,2017-30000086388N0010-24580,30000086388N0010,Initial,Low Pressure,02/28/2017 00:00:00,No,0,0,30,0,Accepted,3335898
366,2017-30000088914N0001-18500,30000088914N0001,Initial,Low Pressure,02/14/2017 00:00:00,No,0,0,30,0,Accepted,3057480
367,2017-30000098251N0001-46933,30000098251N0001,Initial,Low Pressure,01/13/2017 00:00:00,No,0,0,30,0,Accepted,3132091
368,2017-30000104781N0002-1914,30000104781N0002,Initial,Low Pressure,04/06/2017 00:00:00,Yes,0,0,30,0,Accepted,3208963
369,2017-40000011098Y0001-8062,40000011098Y0001,Initial,Low Pressure,07/21/2017 00:00:00,No,0,0,30,0,Accepted,4086051
370,2017-40000015350Y0001-34786,40000015350Y0001,Initial,Low Pressure,05/03/2017 00:00:00,No,0,0,30,0,Accepted,4113357
371,2017-40000015350Y0001-34787,40000015350Y0001,Initial,Low Pressure,02/08/2017 00:00:00,Yes,0,0,30,0,Accepted,4113357
372,2017-40000038558Y0003-3638,40000038558Y0003,Initial,Low Pressure,07/24/2017 00:00:00,Yes,0,0,30,0,Accepted,4430873
373,2017-40000038558Y0004-3637,40000038558Y0004,Initial,Low Pressure,07/24/2017 00:00:00,No,0,0,30,0,Accepted,4430873
374,2017-40000038558Y0005-3636,40000038558Y0005,Initial,Low Pressure,07/24/2017 00:00:00,No,0,0,30,0,Accepted,4430873
375,2017-40000038558Y0006-3635,40000038558Y0006,Initial,Low Pressure,07/24/2017 00:00:00,Yes,0,0,30,0,Accepted,4430873
376,2017-40000041324N0002-13471,40000041324N0002,Initial,Low Pressure,05/08/2017 00:00:00,No,0,0,30,0,Accepted,4226300
377,2017-40000098874N0001-1433,40000098874N0001,Initial,Low Pressure,03/30/2017 00:00:00,No,0,0,30,0,Accepted,4005057
378,2017-40000109670N0001-50276,40000109670N0001,Initial,Low Pressure,03/20/2017 00:00:00,No,0,0,30,0,Accepted,4828269
379,2017-40000115136N0003-20036,40000115136N0003,Initial,Low Pressure,03/01/2017 00:00:00,No,0,0,30,0,Accepted,4440712
380,2016-10000817692N0001-28028,10000817692N0001,Subsequent,Low Pressure,01/27/2017 00:00:00,No,0,0,30,0,Accepted,1061246
381,2016-10000821189Y0001-71238,10000821189Y0001,Subsequent,Low Pressure,01/20/2017 00:00:00,No,0,0,30,0,Accepted,1019114
382,2016-10000918839Y0001-71243,10000918839Y0001,Subsequent,Low Pressure,03/01/2017 00:00:00,No,0,0,30,0,Accepted,1057550
383,BNR001748,10000112742N0004,BNR,Low Pressure,07/17/2023 00:00:00,,0,0,0,0,Pre-filing,1054554
384,2016-10000003230N0006-71245,10000003230N0006,Subsequent,Low Pressure,01/17/2017 00:00:00,No,0,0,30,0,Accepted,1075678
385,2016-10000003263Y0002-71240,10000003263Y0002,Subsequent,Low Pressure,01/13/2017 00:00:00,No,0,0,30,0,Accepted,1033752
386,2016-10000005880Y0001-39361,10000005880Y0001,Subsequent,Low Pressure,02/02/2017 00:00:00,No,0,0,30,0,Accepted,1047480
387,2016-10000007847Y0001-2600,10000007847Y0001,Subsequent,Low Pressure,04/18/2017 00:00:00,No,0,0,30,0,Accepted,1059860
388,2016-10000010891Y0001-31645,10000010891Y0001,Subsequent,Low Pressure,04/28/2017 00:00:00,No,0,0,30,0,Accepted,1064111
389,2016-10000011703N0001-43099,10000011703N0001,Subsequent,Low Pressure,05/02/2017 00:00:00,No,0,0,30,0,Accepted,1088434
390,2016-10000011710Y0001-19233,10000011710Y0001,Subsequent,Low Pressure,01/12/2017 00:00:00,No,0,0,30,0,Accepted,1028848
391,2016-10000018106Y0001-71246,10000018106Y0001,Subsequent,Low Pressure,02/20/2017 00:00:00,No,0,0,30,0,Accepted,1077708
392,2016-10000033938Y0001-71241,10000033938Y0001,Subsequent,Low Pressure,06/09/2017 00:00:00,No,0,0,30,0,Accepted,1038469
393,2016-10000038425Y0001-27390,10000038425Y0001,Subsequent,Low Pressure,02/09/2017 00:00:00,No,0,0,30,0,Accepted,1003085
394,2016-10000038546Y0001-15570,10000038546Y0001,Subsequent,Low Pressure,02/02/2017 00:00:00,No,0,0,30,0,Accepted,1031765
395,2016-10000040610Y0001-845,10000040610Y0001,Subsequent,Low Pressure,04/28/2017 00:00:00,No,0,0,30,0,Accepted,1064286
396,2016-10000050417Y0001-71242,10000050417Y0001,Subsequent,Low Pressure,05/24/2017 00:00:00,No,0,0,30,0,Accepted,1045860
397,2016-10000061000N0001-43407,10000061000N0001,Subsequent,Low Pressure,07/25/2017 00:00:00,No,0,0,30,0,Accepted,1010290
398,2016-10000064047Y0001-71237,10000064047Y0001,Subsequent,Low Pressure,04/01/2017 00:00:00,No,0,0,30,0,Accepted,1013364
399,2016-10000064329Y0001-71244,10000064329Y0001,Subsequent,Low Pressure,02/14/2017 00:00:00,No,0,0,30,0,Accepted,1063704
400,2016-10000067080Y0001-15525,10000067080Y0001,Subsequent,Low Pressure,02/28/2017 00:00:00,No,0,0,30,0,Accepted,1076254
401,2016-10000072987Y0001-15504,10000072987Y0001,Subsequent,Low Pressure,01/13/2017 00:00:00,No,0,0,30,0,Accepted,1081329
402,2016-10000072987Y0002-15503,10000072987Y0002,Subsequent,Low Pressure,01/13/2017 00:00:00,No,0,0,30,0,Accepted,1081329
403,2016-10000074167Y0001-398,10000074167Y0001,Subsequent,Low Pressure,01/16/2017 00:00:00,No,0,0,30,0,Accepted,1018185
404,2016-10000085851N0002-22685,10000085851N0002,Subsequent,Low Pressure,03/06/2017 00:00:00,No,0,0,30,0,Accepted,1062894
405,2016-10000110256N0001-71247,10000110256N0001,Subsequent,Low Pressure,02/01/2017 00:00:00,No,0,0,30,0,Accepted,1802857
